DATE,REPORTTPYE,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed
2015-01-01 00:54,FM-15,22,50,10
2015-01-01 01:00,FM-12,22,50,10
2015-01-01 01:54,FM-15,22,50,10
2015-01-01 02:54,FM-15,22,50,11
2015-01-01 03:54,FM-15,24,46,13
2015-01-01 04:00,FM-12,24,46,13
2015-01-01 04:54,FM-15,22,52,15
2015-01-01 05:54,FM-15,23,48,17
2015-01-01 06:54,FM-15,23,50,14
2015-01-01 07:00,FM-12,23,50,14
2015-01-01 07:54,FM-15,22,52,13
2015-01-01 08:54,FM-15,25,44,16
2015-01-01 09:54,FM-15,28,39,14
2015-01-01 10:00,FM-12,28,39,14
2015-01-01 10:54,FM-15,30,34,18
2015-01-01 11:54,FM-15,31,35,17
2015-01-01 12:54,FM-15,32,33,16
2015-01-01 13:00,FM-12,32,33,16
2015-01-01 13:54,FM-15,33,32,14
2015-01-01 14:54,FM-15,33,33,16
2015-01-01 15:54,FM-15,31,36,13
2015-01-01 16:00,FM-12,31,36,13
2015-01-01 16:54,FM-15,31,38,14
2015-01-01 17:54,FM-15,30,41,16
2015-01-01 18:54,FM-15,31,40,15
2015-01-01 19:00,FM-12,31,40,15
2015-01-01 19:54,FM-15,30,41,13
2015-01-01 20:54,FM-15,30,47,11
2015-01-01 21:54,FM-15,31,47,11
2015-01-01 22:00,FM-12,31,47,11
2015-01-01 22:54,FM-15,31,52,18
2015-01-01 23:54,FM-15,31,54,14
2015-01-01 23:59,SOD,NA,NA,NA
2015-01-02 00:54,FM-15,33,49,13
2015-01-02 01:00,FM-12,33,49,13
2015-01-02 01:54,FM-15,33,49,11
2015-01-02 02:54,FM-15,32,52,10
2015-01-02 03:54,FM-15,32,52,11
2015-01-02 04:00,FM-12,32,52,11
2015-01-02 04:54,FM-15,32,50,11
2015-01-02 05:54,FM-15,34,46,13
2015-01-02 06:54,FM-15,34,48,15
2015-01-02 07:00,FM-12,34,48,15
2015-01-02 07:54,FM-15,33,49,11
2015-01-02 08:54,FM-15,36,46,11
2015-01-02 09:54,FM-15,38,43,16
2015-01-02 10:00,FM-12,38,43,16
2015-01-02 10:54,FM-15,39,39,17
2015-01-02 11:54,FM-15,38,43,15
2015-01-02 12:54,FM-15,40,40,18
2015-01-02 13:00,FM-12,40,40,18
2015-01-02 13:54,FM-15,40,38,14
2015-01-02 14:54,FM-15,39,41,14
2015-01-02 15:54,FM-15,38,41,16
2015-01-02 16:00,FM-12,38,41,16
2015-01-02 16:54,FM-15,36,44,14
2015-01-02 17:54,FM-15,35,42,11
2015-01-02 18:54,FM-15,34,44,11
2015-01-02 19:00,FM-12,34,44,11
2015-01-02 19:54,FM-15,34,44,11
2015-01-02 20:54,FM-15,33,45,10
2015-01-02 21:54,FM-15,33,43,13
2015-01-02 22:00,FM-12,33,43,13
2015-01-02 22:54,FM-15,33,43,8
2015-01-02 23:54,FM-15,31,43,8
2015-01-02 23:59,SOD,NA,NA,NA
2015-01-03 00:54,FM-15,27,51,9
2015-01-03 01:00,FM-12,27,51,9
2015-01-03 01:54,FM-15,26,51,3
2015-01-03 02:54,FM-15,24,55,6
2015-01-03 03:54,FM-15,24,55,8
2015-01-03 04:00,FM-12,24,55,8
2015-01-03 04:54,FM-15,24,52,8
2015-01-03 05:54,FM-15,23,57,7
2015-01-03 06:54,FM-15,23,55,8
2015-01-03 07:00,FM-12,23,55,8
2015-01-03 07:54,FM-15,23,55,5
2015-01-03 08:54,FM-15,24,50,5
2015-01-03 09:54,FM-15,26,51,0
2015-01-03 10:00,FM-12,26,51,0
2015-01-03 10:54,FM-15,28,51,5
2015-01-03 11:54,FM-15,29,54,5
2015-01-03 12:54,FM-15,29,56,10
2015-01-03 13:00,FM-12,29,56,10
2015-01-03 13:54,FM-15,30,56,11
2015-01-03 14:54,FM-15,30,56,10
2015-01-03 15:54,FM-15,30,58,10
2015-01-03 16:00,FM-12,30,58,10
2015-01-03 16:54,FM-15,31,61,15
2015-01-03 17:20,FM-16,30,69,16
2015-01-03 17:54,FM-15,30,82,15
2015-01-03 18:16,FM-16,30,86,14
2015-01-03 18:29,FM-16,30,93,18
2015-01-03 18:37,FM-16,30,93,14
2015-01-03 18:54,FM-15,31,96,18
2015-01-03 19:00,FM-12,31,96,18
2015-01-03 19:26,FM-16,32,93,16
2015-01-03 19:44,FM-16,34,93,20
2015-01-03 19:54,FM-15,33,96,22
2015-01-03 20:43,FM-16,34,93,17
2015-01-03 20:54,FM-15,34,97,16
2015-01-03 21:07,FM-16,34,100,15
2015-01-03 21:54,FM-15,35,96,16
2015-01-03 22:00,FM-12,35,96,16
2015-01-03 22:12,FM-16,36,93,18
2015-01-03 22:54,FM-15,37,93,17
2015-01-03 23:54,FM-15,37,96,16
2015-01-03 23:59,SOD,NA,NA,NA
2015-01-04 00:54,FM-15,38,100,10
2015-01-04 01:00,FM-12,38,100,10
2015-01-04 01:03,FM-16,39,93,15
2015-01-04 01:54,FM-15,40,97,10
2015-01-04 02:46,FM-16,41,93,11
2015-01-04 02:54,FM-15,41,100,11
2015-01-04 03:49,FM-16,43,100,8
2015-01-04 03:54,FM-15,42,100,10
2015-01-04 04:00,FM-12,42,100,10
2015-01-04 04:09,FM-16,41,100,7
2015-01-04 04:36,FM-16,43,93,8
2015-01-04 04:54,FM-15,41,96,9
2015-01-04 05:54,FM-15,40,97,8
2015-01-04 06:52,FM-16,39,100,5
2015-01-04 06:54,FM-15,40,97,7
2015-01-04 07:00,FM-12,40,97,7
2015-01-04 07:45,FM-16,37,93,11
2015-01-04 07:54,FM-15,36,97,9
2015-01-04 08:54,FM-15,36,97,6
2015-01-04 09:31,FM-16,36,93,5
2015-01-04 09:54,FM-15,36,93,5
2015-01-04 10:00,FM-12,36,93,5
2015-01-04 10:54,FM-15,37,93,6
2015-01-04 11:54,FM-15,37,100,7
2015-01-04 12:54,FM-15,41,93,0
2015-01-04 13:00,FM-12,41,93,0
2015-01-04 13:54,FM-15,41,93,8
2015-01-04 14:08,FM-16,39,100,7
2015-01-04 14:10,FM-16,39,100,5
2015-01-04 14:54,FM-15,40,97,5
2015-01-04 15:54,FM-15,40,97,6
2015-01-04 16:00,FM-12,40,97,6
2015-01-04 16:54,FM-15,40,100,5
2015-01-04 16:59,FM-16,39,100,6
2015-01-04 17:15,FM-16,43,100,9
2015-01-04 17:30,FM-16,43,100,9
2015-01-04 17:54,FM-15,43,97,6
2015-01-04 18:54,FM-15,46,96,8
2015-01-04 19:00,FM-12,46,96,8
2015-01-04 19:54,FM-15,49,93,13
2015-01-04 20:27,FM-16,48,100,10
2015-01-04 20:54,FM-15,51,92,10
2015-01-04 21:09,FM-16,52,94,10
2015-01-04 21:54,FM-15,51,96,9
2015-01-04 22:00,FM-12,51,96,9
2015-01-04 22:54,FM-15,51,89,14
2015-01-04 23:54,FM-15,50,83,15
2015-01-04 23:59,SOD,NA,NA,NA
2015-01-05 00:16,FM-16,48,71,25
2015-01-05 00:27,FM-16,46,71,18
2015-01-05 00:54,FM-15,46,68,18
2015-01-05 01:00,FM-12,46,68,18
2015-01-05 01:54,FM-15,44,65,17
2015-01-05 02:54,FM-15,43,60,20
2015-01-05 03:54,FM-15,42,55,18
2015-01-05 04:00,FM-12,42,55,18
2015-01-05 04:54,FM-15,41,57,16
2015-01-05 05:54,FM-15,40,55,23
2015-01-05 06:54,FM-15,39,50,23
2015-01-05 07:00,FM-12,39,50,23
2015-01-05 07:54,FM-15,37,46,20
2015-01-05 08:54,FM-15,37,41,24
2015-01-05 09:54,FM-15,36,35,23
2015-01-05 10:00,FM-12,36,35,23
2015-01-05 10:54,FM-15,36,35,23
2015-01-05 11:54,FM-15,34,32,30
2015-01-05 12:54,FM-15,34,31,23
2015-01-05 13:00,FM-12,34,31,23
2015-01-05 13:54,FM-15,35,32,18
2015-01-05 14:54,FM-15,30,33,26
2015-01-05 15:54,FM-15,28,28,30
2015-01-05 16:00,FM-12,28,28,30
2015-01-05 16:54,FM-15,25,32,29
2015-01-05 17:54,FM-15,24,32,29
2015-01-05 18:54,FM-15,22,33,23
2015-01-05 19:00,FM-12,22,33,23
2015-01-05 19:54,FM-15,21,34,24
2015-01-05 20:54,FM-15,20,34,21
2015-01-05 21:54,FM-15,19,34,14
2015-01-05 22:54,FM-15,18,34,20
2015-01-05 23:54,FM-15,17,35,18
2015-01-05 23:59,SOD,NA,NA,NA
2015-01-06 00:54,FM-15,17,37,21
2015-01-06 01:00,FM-12,17,37,21
2015-01-06 01:54,FM-15,16,43,15
2015-01-06 02:54,FM-15,16,43,20
2015-01-06 03:54,FM-15,15,46,17
2015-01-06 04:00,FM-12,15,46,17
2015-01-06 04:54,FM-15,15,49,9
2015-01-06 05:54,FM-15,15,51,10
2015-01-06 06:54,FM-15,15,51,14
2015-01-06 07:00,FM-12,15,51,14
2015-01-06 07:54,FM-15,16,49,7
2015-01-06 08:54,FM-15,17,47,9
2015-01-06 09:54,FM-15,17,47,11
2015-01-06 10:00,FM-12,17,47,11
2015-01-06 10:54,FM-15,18,49,11
2015-01-06 11:46,FM-16,18,62,7
2015-01-06 11:54,FM-15,17,64,6
2015-01-06 12:02,FM-16,18,68,9
2015-01-06 12:21,FM-16,16,79,7
2015-01-06 12:54,FM-15,16,77,8
2015-01-06 13:00,FM-12,16,77,8
2015-01-06 13:54,FM-15,17,74,7
2015-01-06 14:03,FM-16,18,73,8
2015-01-06 14:54,FM-15,17,74,3
2015-01-06 15:54,FM-15,17,74,5
2015-01-06 16:00,FM-12,17,74,5
2015-01-06 16:37,FM-16,18,68,3
2015-01-06 16:54,FM-15,17,68,5
2015-01-06 17:36,FM-16,18,73,5
2015-01-06 17:54,FM-15,17,77,3
2015-01-06 18:54,FM-15,17,77,5
2015-01-06 19:00,FM-12,17,77,5
2015-01-06 19:54,FM-15,17,77,3
2015-01-06 20:29,FM-16,16,79,3
2015-01-06 20:52,FM-16,16,79,0
2015-01-06 20:54,FM-15,15,80,0
2015-01-06 21:54,FM-15,15,77,7
2015-01-06 22:00,FM-12,15,77,7
2015-01-06 22:54,FM-15,15,80,8
2015-01-06 23:54,FM-15,16,77,6
2015-01-06 23:59,SOD,NA,NA,NA
2015-01-07 00:54,FM-15,16,77,7
2015-01-07 01:00,FM-12,16,77,7
2015-01-07 01:54,FM-15,17,77,6
2015-01-07 02:54,FM-15,16,84,8
2015-01-07 03:54,FM-15,16,80,13
2015-01-07 04:00,FM-12,16,80,13
2015-01-07 04:54,FM-15,17,74,8
2015-01-07 05:54,FM-15,18,65,11
2015-01-07 06:54,FM-15,16,71,11
2015-01-07 07:00,FM-12,16,71,11
2015-01-07 07:54,FM-15,16,74,10
2015-01-07 08:54,FM-15,20,62,11
2015-01-07 09:54,FM-15,21,59,16
2015-01-07 10:00,FM-12,21,59,16
2015-01-07 10:54,FM-15,23,50,16
2015-01-07 11:54,FM-15,23,48,22
2015-01-07 12:54,FM-15,23,44,21
2015-01-07 13:00,FM-12,23,44,21
2015-01-07 13:54,FM-15,25,40,17
2015-01-07 14:54,FM-15,24,40,16
2015-01-07 15:54,FM-15,23,42,15
2015-01-07 16:00,FM-12,23,42,15
2015-01-07 16:17,FM-16,19,68,18
2015-01-07 16:23,FM-16,19,68,11
2015-01-07 16:46,FM-16,21,58,15
2015-01-07 16:54,FM-15,21,54,16
2015-01-07 17:54,FM-15,19,27,21
2015-01-07 18:54,FM-15,15,32,28
2015-01-07 19:00,FM-12,15,32,28
2015-01-07 19:54,FM-15,12,42,24
2015-01-07 20:54,FM-15,9,39,24
2015-01-07 21:54,FM-15,7,41,17
2015-01-07 22:00,FM-12,7,41,17
2015-01-07 22:54,FM-15,5,42,21
2015-01-07 23:54,FM-15,5,42,17
2015-01-07 23:59,SOD,NA,NA,NA
2015-01-08 00:54,FM-15,3,42,18
2015-01-08 01:00,FM-12,3,42,18
2015-01-08 01:54,FM-15,2,46,16
2015-01-08 02:54,FM-15,1,46,16
2015-01-08 03:54,FM-15,0,49,14
2015-01-08 04:00,FM-12,0,49,14
2015-01-08 04:54,FM-15,-1,48,14
2015-01-08 05:54,FM-15,-1,46,13
2015-01-08 06:54,FM-15,-1,46,15
2015-01-08 07:00,FM-12,-1,46,15
2015-01-08 07:54,FM-15,0,41,14
2015-01-08 08:54,FM-15,1,42,17
2015-01-08 09:54,FM-15,4,40,15
2015-01-08 10:00,FM-12,4,40,15
2015-01-08 10:54,FM-15,9,37,10
2015-01-08 11:54,FM-15,13,40,11
2015-01-08 12:54,FM-15,15,42,13
2015-01-08 13:00,FM-12,15,42,13
2015-01-08 13:54,FM-15,18,41,14
2015-01-08 14:54,FM-15,18,41,17
2015-01-08 15:54,FM-15,18,41,13
2015-01-08 16:00,FM-12,18,41,13
2015-01-08 16:54,FM-15,18,41,11
2015-01-08 17:54,FM-15,17,45,14
2015-01-08 18:54,FM-15,17,47,13
2015-01-08 19:00,FM-12,17,47,13
2015-01-08 19:54,FM-15,18,45,14
2015-01-08 20:54,FM-15,18,45,14
2015-01-08 21:54,FM-15,18,49,13
2015-01-08 22:00,FM-12,18,49,13
2015-01-08 22:54,FM-15,18,57,15
2015-01-08 23:54,FM-15,19,59,20
2015-01-08 23:59,SOD,NA,NA,NA
2015-01-09 00:54,FM-15,20,65,16
2015-01-09 01:00,FM-12,20,65,16
2015-01-09 01:54,FM-15,21,68,17
2015-01-09 02:54,FM-15,21,65,13
2015-01-09 03:54,FM-15,21,57,16
2015-01-09 04:00,FM-12,21,57,16
2015-01-09 04:54,FM-15,22,63,14
